# NPs NSTEPS comp
10 8193 0.011114
10 1048577 1.461770
1000 524289 363.649616
10 8193 0.013965
100 8193 0.094640
10 524289 1.058604
10 16385 0.027369
100 16385 0.181167
100 33554433 545.511772
1000 8193 2.953319
10 524289 0.671307
10 4097 0.008395
1000 8388609 2773.468853
100 262145 2.501112
100 131073 1.667242
100 1048577 10.843440
100 16385 0.237223
10 8193 0.016622
10 65537 0.077517
1000 524289 179.696943
100 8193 0.135792
1000 1048577 342.726827
1000 8388609 3101.265558
100 32769 0.533841
100 4097 0.034827
100 8388609 136.399093
100 1048577 16.850018
100 16385 0.173876
100 2049 0.033450
10 257 0.000719
10 524289 0.698827
10 8193 0.011345
100 8193 0.111919
100 16385 0.188114
100 65537 0.771283
10 1025 0.003475
100 1025 0.017135
100 8193 0.089270
100 16777217 129.045608
10 1025 0.001949
10 524289 1.072259
10 1025 0.002533
100 65537 0.808306
100 1048577 10.083694
100 2097153 24.466494
10 513 0.000576
100 8388609 105.869642
100 257 0.006127
100 524289 5.849410
10 1048577 1.342531
10 8193 0.017923
100 2097153 17.092750
1000 1025 0.403473
10 2097153 2.637417
10 16385 0.032833
10000 16385 515.563546
10 4097 0.008123
100 1025 0.016486
10 8388609 8.182553
10 2097153 3.232972
10 8193 0.014609
100 16385 0.222916
100 1048577 11.887952
10 16385 0.027594
10 16385 0.027211
100 524289 8.384687
10 16385 0.024078
100 4097 0.059084
100 16385 0.182718
100 8193 0.132774
10 2097153 4.199445
100 8193 0.113911
100 1048577 10.166290
10 16385 0.027557
100 8388609 60.464363
10 8193 0.011364
10 65537 0.131459
10 1048577 2.101705
100 65537 0.708412
10 16385 0.026334
1000 65537 102.535340
10 2097153 4.344682
10 129 0.000565
10 8388609 16.969073
1000 8193 3.374445
10 16385 0.034844
100 4097 0.046371
10 4097 0.005545
100 1048577 10.995963
10 2097153 2.923483
10 8388609 8.402188
10 1048577 1.606315
100 262145 2.666385
10000 131073 4015.166915
100 524289 5.019294
100 2097153 22.029660
100 32769 0.415153
10 2097153 3.183188
10 32769 0.054815
1000 8388609 3076.238409
10 2097153 4.250857
100 8388609 107.300373
10000 8193 287.221212
1000 8193 3.155009
100 524289 5.008341
100 16385 0.223833
100 1048577 11.069325
100 8193 0.132641
10 524289 1.057776
100 524289 5.465457
10 1025 0.001943
10000 4097 364.135178
100 524289 8.444913
100 262145 4.241870
10 2049 0.003803
100 2097153 23.463210
100 16385 0.265202
100 16777217 123.857291
100 4194305 69.435962
100 2049 0.026928
10 8193 0.014306
10 8193 0.011755
1000 16777217 5669.802680
10 262145 0.533638
1000 33554433 14780.280726
100 1048577 7.607824
10 2097153 2.106526
1000 8388609 3158.017814
100 1048577 16.895015
10 1048577 2.107981
1000 524289 183.162176
100 65537 0.678052
10 1048577 1.541861
10 524289 1.074165
10 32769 0.042057
10 32769 0.042176
10000 1048577 31479.320730
10 16385 0.027144
10 16385 0.022304
10 1048577 1.332114
100 4097 0.046919
10 1048577 1.329914
10 131073 0.267668
100 524289 5.894653
10 4194305 5.373986
10 524289 0.661546
1000 262145 117.877196
100 1048577 9.953640
10000 8193 400.617821
100 131073 1.660657
100 16777217 212.060909
10000 8193 395.390153
10 1048577 0.981869
100 2049 0.023440
100 1048577 8.573595
10 524289 0.747057
10000 32769 1608.263765
10 8193 0.013989
100 2097153 33.691574
10 4097 0.008641
100 8193 0.067627
10 4097 0.006109
100 131073 3.269129
100 524289 4.843295
1000 16777217 5516.800207
10 262145 0.528203
1000 8193 3.997458
1000 1048577 465.196304
10 16385 0.034711
10 524289 0.669788
10 129 0.000468
10 65537 0.066940
10 16385 0.027609
100 16777217 128.028701
10 65537 0.083690
10 8193 0.012100
10000 8193 246.912605
10 2097153 2.697639
10 2097153 2.936010
100 1048577 10.058937
100 8193 0.099885
1000 1048577 357.638690
10000 131073 6379.924827
100 65537 0.678520
100 8193 0.132177
10 524289 0.786655
100 8388609 63.893668
10 16385 0.026379
1000 131073 51.146375
100 4097 0.067896
100 257 0.006102
10 524289 1.065540
100 1048577 11.601343
1000 131073 63.379167
1000 65537 26.860811
1000 4097 1.817666
10 129 0.000304
100 32769 0.276058
10 2097153 4.237031
100 1048577 10.458901
10 16385 0.032898
100 1048577 9.935085
10 4194305 5.858779
100 4097 0.067270
10 8193 0.013859
10 2049 0.004183
100 16385 0.266995
10 1048577 1.333170
10 16385 0.022183
10 16777217 16.937604
10 131073 0.168957
10 16385 0.016947
100 16777217 212.242795
100 16385 0.269126
10 32769 0.066690
100 8193 0.132898
100 2097153 33.977853
10 1048577 1.413881
10 1048577 1.326879
100 1048577 11.023223
100 16385 0.183303
100 8193 0.093430
100 4097 0.041681
100 131073 1.336357
100 8193 0.112719
10 1048577 1.336016
10000 131073 4025.226532
10 2097153 2.655666
